127.0.0.1 - - [22/Jul/2016:22:35:22 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [22/Jul/2016:22:35:24 +0530] "GET /eBayREST/ HTTP/1.1" 200 301
0:0:0:0:0:0:0:1 - - [22/Jul/2016:22:35:26 +0530] "GET /eBayREST/priceAPI.jsp HTTP/1.1" 200 5184
0:0:0:0:0:0:0:1 - - [22/Jul/2016:22:35:26 +0530] "GET /eBayREST/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [22/Jul/2016:22:35:26 +0530] "GET /eBayREST/bootstrap/css/style.css HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [22/Jul/2016:22:35:26 +0530] "GET /eBayREST/bootstrap/css/bootstrap.css HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [22/Jul/2016:22:35:26 +0530] "GET /eBayREST/bootstrap/css/form.css HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [22/Jul/2016:22:35:26 +0530] "GET /eBayREST/js/jquery.min.js HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Jul/2016:22:35:42 +0530] "GET /ebayAPI/webapi/item?subCategory=2&minPrice=100&maxPrice=2000 HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [22/Jul/2016:22:36:15 +0530] "GET /eBayREST/sellerWithPin.jsp HTTP/1.1" 200 932
0:0:0:0:0:0:0:1 - - [22/Jul/2016:22:36:21 +0530] "GET /ebayAPI/webapi/item/try?seller_address_pin=12345 HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [22/Jul/2016:22:39:38 +0530] "GET /eBayREST/webapi/item/try?seller_address_pin=12345 HTTP/1.1" 200 325
0:0:0:0:0:0:0:1 - - [22/Jul/2016:22:40:38 +0530] "GET /ebayAPI/webapi/item/try?seller_address_pin=12345 HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [22/Jul/2016:22:40:41 +0530] "GET /eBayREST/priceAPI.jsp HTTP/1.1" 200 5185
0:0:0:0:0:0:0:1 - - [22/Jul/2016:22:40:42 +0530] "GET /eBayREST/bootstrap/css/bootstrap.css HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [22/Jul/2016:22:40:42 +0530] "GET /eBayREST/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [22/Jul/2016:22:40:42 +0530] "GET /eBayREST/bootstrap/css/style.css HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [22/Jul/2016:22:40:42 +0530] "GET /eBayREST/bootstrap/css/form.css HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [22/Jul/2016:22:40:42 +0530] "GET /eBayREST/js/jquery.min.js HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Jul/2016:22:40:54 +0530] "GET /eBayREST/webapi/item?subCategory=2&minPrice=100&maxPrice=2000 HTTP/1.1" 200 828
0:0:0:0:0:0:0:1 - - [22/Jul/2016:22:56:43 +0530] "GET /eBayREST/ HTTP/1.1" 200 2059
0:0:0:0:0:0:0:1 - - [22/Jul/2016:22:56:50 +0530] "GET /eBayREST/priceAPI.jsp HTTP/1.1" 200 5185
0:0:0:0:0:0:0:1 - - [22/Jul/2016:22:56:50 +0530] "GET /eBayREST/bootstrap/css/bootstrap.css HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [22/Jul/2016:22:56:50 +0530] "GET /eBayREST/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [22/Jul/2016:22:56:50 +0530] "GET /eBayREST/bootstrap/css/style.css HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [22/Jul/2016:22:56:50 +0530] "GET /eBayREST/bootstrap/css/form.css HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [22/Jul/2016:22:56:50 +0530] "GET /eBayREST/js/jquery.min.js HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Jul/2016:22:56:50 +0530] "GET /eBayREST/js/jquery.min.js HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Jul/2016:22:57:27 +0530] "GET /eBayREST/webapi/item?subCategory=2&minPrice=100&maxPrice=2000 HTTP/1.1" 200 828
0:0:0:0:0:0:0:1 - - [22/Jul/2016:22:57:33 +0530] "GET /eBayREST/loginThroughFacebook.jsp HTTP/1.1" 200 3972
0:0:0:0:0:0:0:1 - - [22/Jul/2016:22:58:15 +0530] "GET /eBayREST/sellerWithPin.jsp HTTP/1.1" 200 932
0:0:0:0:0:0:0:1 - - [22/Jul/2016:22:58:20 +0530] "GET /ebayAPI/webapi/item/try?seller_address_pin=12345 HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [22/Jul/2016:22:58:59 +0530] "GET /eBayREST/sellerWithPin.jsp HTTP/1.1" 200 933
0:0:0:0:0:0:0:1 - - [22/Jul/2016:22:59:04 +0530] "GET /eBayREST/webapi/item/try?seller_address_pin=12345 HTTP/1.1" 200 325
0:0:0:0:0:0:0:1 - - [22/Jul/2016:23:02:15 +0530] "GET /eBayREST/sellerWithPin.jsp HTTP/1.1" 200 933
0:0:0:0:0:0:0:1 - - [22/Jul/2016:23:02:20 +0530] "GET /eBayREST/webapi/item/try?seller_address_pin=12345 HTTP/1.1" 200 325
0:0:0:0:0:0:0:1 - - [22/Jul/2016:23:02:46 +0530] "GET /eBayREST/ HTTP/1.1" 200 2095
